link_imagem,data_coleta
https://en.wikipedia.org/static/images/icons/enwiki-25.svg,2026-04-09 13:40:51
https://en.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-en-25.svg,2026-04-09 13:40:51
https://en.wikipedia.org/static/images/mobile/copyright/wikipedia-tagline-en-25.svg,2026-04-09 13:40:51
https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Per_MartinLoef.jpg/250px-Per_MartinLoef.jpg,2026-04-09 13:40:51
https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Calidris-alpina-001_edit.jpg/250px-Calidris-alpina-001_edit.jpg,2026-04-09 13:40:51
https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Em_old_faithful.gif/250px-Em_old_faithful.gif,2026-04-09 13:40:51
https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Franz_Brentano.jpeg/250px-Franz_Brentano.jpeg,2026-04-09 13:40:51
https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg/20px-OOjs_UI_icon_edit-ltr-progressive.svg.png,2026-04-09 13:40:51
https://en.wikipedia.org/wiki/Special:CentralAutoLogin/start?useformat=desktop&type=1x1&usesul3=1,2026-04-09 13:40:51
https://en.wikipedia.org/static/images/footer/wikimedia.svg,2026-04-09 13:40:51
https://en.wikipedia.org/w/resources/assets/mediawiki_compact.svg,2026-04-09 13:40:51
